N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,sha256
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.15,drop,2675d69c578ebef756f802f481013a27c19734022b4c3234c5d84ed90489fe5e
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.15,drop,4024df3b8c0e494b282db1ccb993e0949de172a4cf45bf3367114ef0ab40c076
2,independent,0.975,1701,1.35,60.73650000000001,44.99,0.15,drop,b107e62e2959ce7770fa59c0703612986db689cd6770cfa169f71dfd54b58c99
2,independent,0.975,1702,1.35,60.73650000000001,44.99,0.15,drop,627bf1705a842e51bbd558408a02c9304c76c8cd4317e39ab04245b5ca2e6213
2,common,0.0,1701,1.35,60.73650000000001,44.99,0.15,drop,386b81bdc006cf366913e2892ac0371efd1fe2c0d7a2ca2f97eb0c78242af1c9
2,common,0.0,1702,1.35,60.73650000000001,44.99,0.15,drop,0d167bb7c1291e06089bb76a97539a4f052b8b73e633512fd2ea1b1420e0f921
2,common,0.975,1701,1.35,60.73650000000001,44.99,0.15,drop,f19d3e9ac65e3c56a0f0535389d43e755433259f78f341723467b2ce8bc85a4f
2,common,0.975,1702,1.35,60.73650000000001,44.99,0.15,drop,276e20eb733b49f83a0d71ff5b00bdb2277c1c82806cc80b287ca0eb7ead786b
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.15,late,d8779544b00e36087e31a19904a0aa0df1d8862c8f10585a3a4534834be0e509
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.15,late,5c60c929654e22f69b6afdb72308ad56513e2772627e010d110736ffbbaf424d
2,independent,0.975,1701,1.35,60.73650000000001,44.99,0.15,late,a8171e79dad3aaf18e0c438b7b6fb836d9475d0e024abeef2338b83f07c15353
2,independent,0.975,1702,1.35,60.73650000000001,44.99,0.15,late,9ce5070183e790524d28051cc86b7a4e68fa4ca6d2aa3e4ee5e0c46ae606753d
2,common,0.0,1701,1.35,60.73650000000001,44.99,0.15,late,353b7c67a977efc23227fb566155b1ee0251924f0be855fd48f38bf0e62edad5
2,common,0.0,1702,1.35,60.73650000000001,44.99,0.15,late,102eaab6ea580c66cfed7a81d8f45a344645f10d73c4c8396b75f20627eb640c
2,common,0.975,1701,1.35,60.73650000000001,44.99,0.15,late,9c6add03c62c8709a1320c294b191e958b5d897401a3600675726c8a88f7719f
2,common,0.975,1702,1.35,60.73650000000001,44.99,0.15,late,eef1626f7628d8242680d2db3d42a8a37a265521c926a70825812b870edbcfbc
4,independent,0.0,1701,1.35,84.888,62.88,0.15,drop,abb4dae4fc95879ecfba8e4d9ba5e5796e116d5eb23fa9ad8643201005911fba
4,independent,0.0,1702,1.35,84.888,62.88,0.15,drop,51537a2a04b89af282db92fb945b3b4d964c758e95b8643bd9481b2eda8903a6
4,independent,0.975,1701,1.35,84.888,62.88,0.15,drop,9ce4d4f374d4b3842fa8553d7e7d189f287dbf4288e3a38c41ce9be7b7224520
4,independent,0.975,1702,1.35,84.888,62.88,0.15,drop,27ca1cec6c2d4ba2b7c15b797c57c55e6e01db867da621fa94e8bc1273b36805
4,common,0.0,1701,1.35,84.888,62.88,0.15,drop,355e156cce30258171352f98e3f5b74f51e2cae0e5896a63575162f207c7d4dd
4,common,0.0,1702,1.35,84.888,62.88,0.15,drop,db8d6e84e585db27896b709ad11fcf6ac06c73258fa38292139920993632b233
4,common,0.975,1701,1.35,84.888,62.88,0.15,drop,24164cc39bb911061ad51b6f921d3c67b1ced0c2f70ef4efea25f30da3de9215
4,common,0.975,1702,1.35,84.888,62.88,0.15,drop,26673d8f4772484b6e5ebca69100fe3e22bc04364cedc586448d4e8d0269fa5a
4,independent,0.0,1701,1.35,84.888,62.88,0.15,late,2e29e6b217c60266f6b7f80f480157839db37c17603159fa2260ef7d4cdd4690
4,independent,0.0,1702,1.35,84.888,62.88,0.15,late,90be7afb09ef4ab388def1468d62883740e292d926d38fc80fd60daf23ad58ac
4,independent,0.975,1701,1.35,84.888,62.88,0.15,late,e95b519a18c1f64d446500ce20a6afab44e245ef5da570cd7943859cf761fd67
4,independent,0.975,1702,1.35,84.888,62.88,0.15,late,84529a74d9122c51e7a27fb075097c77d7535a27decdefef900d9ef774aaca0c
4,common,0.0,1701,1.35,84.888,62.88,0.15,late,490f3ad394f422c35303309a9ebefc7c4a4371cc815b59cfe9476a2d94917cfd
4,common,0.0,1702,1.35,84.888,62.88,0.15,late,543efc89107ea138b104236ec7b4567a0936555006d3528497556814e982b1ad
4,common,0.975,1701,1.35,84.888,62.88,0.15,late,7267508e98b953b59e78e8b2b4cef88b12f0ae2350d513e355c3d65ef12cea10
4,common,0.975,1702,1.35,84.888,62.88,0.15,late,e5793ddd291e3c495190127f5c14b513b0c5ff148fe807a21edd9ff2d3cf12b2
