N,channel_sync,rho,deadline_ratio,epsilon,skip_mode,I2_violation_spread_mean,J2_violation_spread_mean,I2_jain_index_mean,J2_jain_index_mean
2,common,0.0,1.35,0.15,drop,0.0,0.0006999999999999923,1.0,0.9999890090072305
2,common,0.0,1.35,0.15,late,0.0,0.030849999999999995,1.0,0.9870302338177237
2,common,0.975,1.35,0.15,drop,0.0,0.0009499999999999925,1.0,0.9999885213721491
2,common,0.975,1.35,0.15,late,0.0,0.032999999999999995,1.0,0.9848742862207213
2,independent,0.0,1.35,0.15,drop,0.0,0.003699999999999995,1.0,0.9997959181548828
2,independent,0.0,1.35,0.15,late,0.0,0.0003500000000000031,1.0,0.9999983839550493
2,independent,0.975,1.35,0.15,drop,0.0,0.0,1.0,1.0
2,independent,0.975,1.35,0.15,late,0.0,4.999999999999449e-05,1.0,0.999999944407395
4,common,0.0,1.35,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.0,1.35,0.15,late,0.0,0.033249999999999995,1.0,0.9903483369164556
4,common,0.975,1.35,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.975,1.35,0.15,late,0.0,0.034249999999999996,1.0,0.9903637255678667
4,independent,0.0,1.35,0.15,drop,0.0,0.0,1.0,1.0
4,independent,0.0,1.35,0.15,late,0.0,0.0,1.0,1.0
4,independent,0.975,1.35,0.15,drop,0.0,0.0,1.0,1.0
4,independent,0.975,1.35,0.15,late,0.0,0.0034499999999999947,1.0,0.9998971391182158
